TRIAL;START;END;MSG;VALUE
1;1704902538.697598;;_Transition_to_Waiting;
1;1704902542.191598;;Port3Out;
1;1704902543.573898;;Port3In;
1;1704902544.665098;;Port2In;
1;1704902544.844498;;Port2Out;
1;1704902544.8779979;;Port2In;
1;1704902544.963598;;Port2Out;
1;1704902545.975998;;Port2In;
1;1704902548.086398;;Port1Out;
1;1704902548.122598;;Port1In;
1;1704902548.122598;;_Transition_to_Cross_corridor;
1;1704902548.223898;;Port1Out;
1;1704902548.223898;;_Transition_to_Waiting;
1;1704902548.526998;;Port1In;
1;1704902548.526998;;_Transition_to_Cross_corridor;
1;1704902549.098198;;Port1Out;
1;1704902549.098198;;_Transition_to_Waiting;
1;1704902549.198698;;Port1In;
1;1704902549.198698;;_Transition_to_Cross_corridor;
1;1704902552.938898;;Port1Out;
1;1704902552.938898;;_Transition_to_Waiting;
1;1704902553.325698;;Port1In;
1;1704902553.325698;;_Transition_to_Cross_corridor;
1;1704902554.0733979;;Port1Out;
1;1704902554.0733979;;_Transition_to_Waiting;
1;1704902554.632298;;Port1In;
1;1704902554.632298;;_Transition_to_Cross_corridor;
1;1704902557.980098;;Port1Out;
1;1704902557.980098;;_Transition_to_Waiting;
1;1704902558.039498;;Port1In;
1;1704902558.039498;;_Transition_to_Cross_corridor;
1;1704902558.287998;;Port1Out;
1;1704902558.287998;;_Transition_to_Waiting;
1;1704902558.388898;;Port1In;
1;1704902558.388898;;_Transition_to_Cross_corridor;
1;1704902558.428298;;Port1Out;
1;1704902558.428298;;_Transition_to_Waiting;
1;1704902558.464298;;Port1In;
1;1704902558.464298;;_Transition_to_Cross_corridor;
1;1704902558.482198;;Port1Out;
1;1704902558.482198;;_Transition_to_Waiting;
1;1704902558.491798;;Port1In;
1;1704902558.491798;;_Transition_to_Cross_corridor;
1;1704902558.591498;;Port1Out;
1;1704902558.591498;;_Transition_to_Waiting;
1;1704902558.852198;;Port1In;
1;1704902558.852198;;_Transition_to_Cross_corridor;
