date;port;water;pulse_duration
2024/02/20 11:55:05;1;100.0;0.1176
2024/02/20 11:55:05;2;100.0;0.1176
2024/02/20 11:55:05;3;100.0;0.1176
2024/02/20 11:55:05;4;100.0;0.1176
2024/02/20 11:55:05;5;100.0;0.1176
2024/02/20 11:55:05;6;100.0;0.1176
2024/02/20 11:55:05;7;100.0;0.1176
2024/02/20 11:55:05;8;100.0;0.1176
2024/03/04 11:19:17;1;25.0;0.0263
2024/03/04 11:19:17;2;25.0;0.0263
2024/03/04 11:19:17;3;25.0;0.0263
2024/03/04 11:19:17;4;25.0;0.0263
2024/03/04 11:19:17;5;25.0;0.0263
2024/03/04 11:19:17;6;25.0;0.0263
2024/03/04 11:19:17;7;25.0;0.0263
2024/03/04 11:19:17;8;25.0;0.0263
2024/03/21 10:49:17;1;25.0;0.0268
2024/04/23 12:58:05;1;100.0;0.1283
2024/04/24 17:11:18;1;25.0;0.031
2024/05/21 17:38:17;1;25.0;0.1500
2024/05/22 14:55:20;1;25.0;0.1355
2024/05/23 17:05:57;1;25.0;0.0221
2024/05/29 13:45:25;1;25.0;0.0221
2024/05/29 16:18:30;1;25.0;0.0236
2024/05/29 17:10:30;1;25.0;0.025
2024/05/29 17:50:41;1;25.0;0.025
2024/07/18 13:26:46;1;25.0;0.025
2024/07/22 18:32:21;1;25.0;0.0231
2024/07/22 19:00:53;1;25.0;0.0231
2024/07/22 09:39:00;1;25.0;0.025
2024/08/20 18:01:27;1;25.0;0.0232
2024/09/04 15:40:27;1;25.0;0.025
2024/10/02 14:44:21;1;25.0;0.0325
